Class,Result
person,22324
remote,394
tie,2500
handbag,1682
motorcycle,263
bicycle,340
parking meter,69
book,1048
clock,343
chair,2736
bench,738
tv,229
bus,84
oven,171
truck,337
bottle,777
wine glass,207
cup,667
bowl,342
car,874
vase,241
teddy bear,396
cake,319
potted plant,447
toothbrush,366
cell phone,1261
kite,198
bird,650
horse,404
dog,667
airplane,97
donut,279
dining table,936
tennis racket,136
baseball bat,320
couch,504
backpack,875
pizza,106
fork,148
knife,367
spoon,337
sports ball,176
apple,112
bed,672
cow,349
sheep,490
elephant,102
bear,171
cat,322
baseball glove,204
skateboard,194
skis,148
snowboard,89
hot dog,108
sandwich,98
frisbee,119
sink,183
orange,121
carrot,129
umbrella,486
toilet,55
keyboard,85
scissors,300
traffic light,123
surfboard,130
suitcase,229
train,84
hair drier,93
banana,178
fire hydrant,33
laptop,246
microwave,46
refrigerator,83
broccoli,42
boat,226
zebra,32
toaster,9
giraffe,32
mouse,69
stop sign,62
